1999_01_MIN_ATL,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Kevin Mack
1999_01_KC_CHI,Phil Luckett,Bob Wagner,Gary Slaughter,Byron Boston,Bill Leavy,Terry McAulay,David Warden
1999_01_PIT_CLE,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Jim Howey,Ken Baker,Bill Lovett
1999_01_OAK_GB,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_01_BUF_IND,Ron Blum,Steve Wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_01_SF_JAX,Bernie Kukar,Carl Paganelli,Tom Johnson,Jeff Bergman,Richard Reels,Dave Wyant,Lloyd McPeters
1999_01_CAR_NO,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Boris Cheek
1999_01_NE_NYJ,Bill Carollo,Butch Hanna,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Tim Millis
1999_01_ARI_PHI,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steven Zimmer
1999_01_DET_SEA,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_01_BAL_STL,Tom White,Jim Quirk,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Scott Edwards
1999_01_NYG_TB,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_01_CIN_TEN,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Pete Morelli
1999_01_DAL_WAS,Walt Coleman,NA,NA,NA,NA,NA,NA
1999_01_MIA_DEN,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_02_PIT_BAL,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Keven Mack
1999_02_NYJ_BUF,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steven Zimmer
1999_02_JAX_CAR,Bill Carollo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Tim Millis
1999_02_SEA_CHI,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Pete Morelli
1999_02_SD_CIN,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_02_GB_DET,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAuley,Boris Cheek
1999_02_DEN_KC,Tom Corrente,Roy Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Tolle,Tom Sifferman
1999_02_ARI_MIA,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Jim Howey,Ken Baker,Bill Lovett
1999_02_OAK_MIN,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Bob McGrath
